epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6545454263687134,0.0010000000474974513,1.1692193746566772,0.9769230484962463,0.6349999904632568,0.145454540848732,2.0906975269317627,1.0,0.05999999865889549
1,0.8829545378684998,0.0010000000474974513,0.860044538974762,0.9971469044685364,0.8737499713897705,0.3227272629737854,1.701288104057312,1.0,0.2549999952316284
2,0.9545454382896423,0.0010000000474974513,0.7498263716697693,0.9973822236061096,0.9524999856948853,0.8999999761581421,0.8382492661476135,1.0,0.8899999856948853
3,0.9704545736312866,0.0010000000474974513,0.6870537996292114,1.0,0.9674999713897705,0.38181817531585693,1.642999529838562,1.0,0.3199999928474426
4,0.9795454740524292,0.0010000000474974513,0.6730237007141113,0.9974554777145386,0.9800000190734863,0.9954545497894287,0.6782166957855225,1.0,0.9950000047683716
5,0.9920454621315002,0.0010000000474974513,0.6045688390731812,1.0,0.9912499785423279,1.0,0.6018101572990417,1.0,1.0
6,0.9772727489471436,0.0010000000474974513,0.607426106929779,0.9987212419509888,0.9762499928474426,0.8863636255264282,0.8629004955291748,1.0,0.875
7,0.9931818246841431,0.0010000000474974513,0.5645116567611694,0.9987437129020691,0.9937499761581421,0.9818181991577148,0.5983104109764099,1.0,0.9800000190734863
8,0.9943181872367859,0.0010000000474974513,0.5447583794593811,1.0,0.9937499761581421,0.9954545497894287,0.545901358127594,1.0,0.9950000047683716
9,0.9965909123420715,0.0010000000474974513,0.5143942832946777,1.0,0.9962499737739563,1.0,0.49755769968032837,1.0,1.0
